title,length,refs,images,sections,links,infobox,quality,quality_real,quality_3class,topic
Open network architecture,784,0,0,4,10,0,Stub,Stub,Low,Culture & Arts
Open systems architecture,3346,0,0,10,23,0,Stub,Start,Low,Culture & Arts
Optical attenuator,6796,3,1,20,21,0,Stub,C,Medium,General
Optical axis,1730,1,1,4,16,0,Stub,Stub,Low,General
Optical disc,69031,74,6,74,288,0,C,C,Medium,Science & Technology
Optical isolator,12113,10,5,16,33,0,Stub,C,Medium,General
Optical path length,6259,1,0,8,33,0,Stub,Start,Low,General
Optical power margin,1019,0,0,2,13,0,Stub,Stub,Low,General
Visible spectrum,37398,57,6,36,162,0,Start,B,Medium,General
Optical time-domain reflectometer,10694,3,1,10,20,0,Stub,C,Medium,General
Outside plant,15331,11,3,30,52,0,Start,Start,Low,General
Ovality,2112,3,0,6,13,0,Stub,Stub,Low,General
Overfill,6379,9,0,20,21,0,Stub,C,Medium,General
Overmodulation,1300,2,0,4,12,0,Stub,Stub,Low,General
Overtone,30800,36,5,24,145,0,Start,C,Medium,Culture & Arts
Packet-switching node,667,0,0,0,8,0,Stub,Stub,Low,Science & Technology
Paired disparity code,1724,0,0,2,13,0,Stub,Stub,Low,General
Title 47 CFR Part 68,2334,0,0,6,27,0,Stub,Stub,Low,Geography
Passband,4930,1,1,8,49,0,Stub,Start,Low,General
Path loss,13404,6,0,18,59,0,Stub,Start,Low,General
Path profile,753,0,0,2,6,0,Stub,Stub,Low,General
Path quality analysis,970,3,0,2,8,0,Stub,Stub,Low,General
Payload,9526,7,1,14,50,0,Stub,Start,Low,General
Pseudo bit error ratio,549,0,0,0,7,0,Stub,Stub,Low,Science & Technology
Greater Poland Voivodeship,48960,17,20,42,696,1,Start,B,Medium,Geography
Performance measurement period,590,0,0,2,6,0,Stub,Stub,Low,General
Periscope antenna,789,0,0,2,10,0,Stub,Stub,Low,General
Personal mobility,1052,0,0,2,10,0,Stub,Stub,Low,General
Phantom circuit,8092,1,4,14,41,0,Stub,Start,Low,General
Phased array,54223,75,14,50,249,0,C,C,Medium,Science & Technology
Phase distortion,1877,3,0,6,11,0,Stub,Stub,Low,General
Voivodeships of Poland,53642,12,33,44,471,1,Start,C,Medium,Geography
Cod,54881,95,6,52,268,0,C,B,Medium,Science & Technology
Photic zone,36521,58,11,20,99,0,Start,Start,Low,Science & Technology
Masovian Voivodeship,45156,27,8,40,613,1,Start,B,Medium,Geography
Northanger Abbey,57401,150,2,46,135,1,C,B,Medium,History & Politics
"Bath, Somerset",165822,280,24,92,726,1,FA,FA,High,Geography
Renaissance architecture,99013,99,47,168,728,0,C,B,Medium,History & Politics
Amadeus (play),28019,42,1,24,205,1,Start,C,Medium,History & Politics
Contrapposto,10117,12,3,18,64,0,Stub,Start,Low,History & Politics
Forrest Gump,100631,160,3,48,516,1,GA,GA,High,History & Politics
Stanisław Ulam,88298,241,8,34,391,1,GA,GA,High,Science & Technology
György Dalos,5997,4,1,10,48,0,Stub,Stub,Low,History & Politics
Eldred v. Ashcroft,24393,24,1,20,100,1,Start,C,Medium,Geography
Bix Beiderbecke,91008,36,5,38,337,1,FA,FA,High,History & Politics
Duke Ellington,95989,149,13,50,561,1,C,B,Medium,Science & Technology
Rahsaan Roland Kirk,31354,52,1,18,262,1,Start,Start,Low,History & Politics
John McLoughlin,28219,23,3,34,197,1,Start,C,Medium,History & Politics
Avogadro constant,25623,57,4,22,103,1,GA,GA,High,General
Phase-locked loop,54322,25,6,68,190,0,Start,C,Medium,Science & Technology
Phase noise,16233,7,2,16,55,0,Stub,C,Medium,Science & Technology
Phase perturbation,552,0,0,2,7,0,Stub,Stub,Low,General
Phase-shift keying,43775,31,17,58,157,0,Start,C,Medium,General
Photocurrent,4984,6,0,8,22,0,Stub,Stub,Low,General
PIN diode,15834,10,3,22,58,1,Stub,Start,Low,Science & Technology
Plane wave,6937,2,1,14,38,0,Stub,C,Medium,General
Plastic-clad silica fiber,1681,3,0,10,13,0,Stub,Stub,Low,General
Ingrid Bergman,175405,381,24,48,571,1,B,B,Medium,History & Politics
Polarential telegraph system,1245,2,0,4,9,0,Stub,Stub,Low,General
Polarization (waves),75670,44,23,86,298,0,C,B,Medium,Science & Technology
Polarization-maintaining optical fiber,7335,2,2,12,38,0,Stub,Start,Low,General
"Polling, Mühldorf",1453,1,0,2,8,1,Stub,Stub,Low,Geography
Power factor,44880,36,11,36,125,0,Start,B,Medium,Science & Technology
Power-law index profile,1440,0,0,4,10,0,Stub,Stub,Low,General
Power margin,815,0,0,2,10,0,Stub,Stub,Low,Science & Technology
Primary channel,903,0,0,2,13,0,Stub,Stub,Low,Culture & Arts
Primary Rate Interface,3695,3,0,8,24,0,Stub,Start,Low,General
Primary station,507,0,0,2,6,0,Stub,Stub,Low,General
Primary time standard,1120,0,0,2,18,0,Stub,Stub,Low,Science & Technology
Private line,2053,0,0,6,16,0,Stub,Stub,Low,General
Proceed-to-select,681,0,0,2,9,0,Stub,Stub,Low,General
Propagation constant,16151,5,1,26,87,0,Stub,C,Medium,Culture & Arts
Propagation path obstruction,744,0,0,2,7,0,Stub,Stub,Low,General
Protective distribution system,6953,2,0,16,19,0,Stub,Start,Low,General
Protocol-control information,2202,4,0,2,10,0,Stub,Stub,Low,General
Protocol data unit,9254,5,1,22,50,0,Stub,C,Medium,Science & Technology
Provisioning (technology),20122,15,0,18,81,0,Start,Start,Low,Science & Technology
Pseudorandom noise,4942,4,0,6,43,0,Stub,Start,Low,Science & Technology
Psophometer,2841,12,1,6,15,0,Stub,Start,Low,Science & Technology
Psophometric voltage,1085,2,1,2,10,0,Stub,Stub,Low,Science & Technology
Pulse,22253,24,4,50,160,1,Start,C,Medium,Science & Technology
Pulse-address multiple access,737,0,0,2,10,0,Stub,Stub,Low,General
Pulse duration,1212,0,2,2,13,0,Stub,Stub,Low,General
Pulse link repeater,751,0,0,2,7,0,Stub,Stub,Low,General
Push-to-type operation,719,0,0,2,7,0,Stub,Stub,Low,General
Quality control,13231,18,2,14,73,0,Stub,C,Medium,General
Quasi-analog signal,867,0,0,2,17,0,Stub,Stub,Low,General
Queuing delay,5754,5,0,8,25,0,Stub,Start,Low,Science & Technology
Radiation angle,956,1,0,4,12,0,Stub,Stub,Low,General
Radiation mode,976,0,0,4,12,0,Stub,Stub,Low,General
Radiation pattern,15417,10,4,14,68,0,Stub,Start,Low,General
Radio fix,2283,0,2,6,15,0,Stub,Stub,Low,General
Radiometry,8051,8,1,10,49,0,Stub,Start,Low,Science & Technology
Random number,4303,11,1,10,27,0,Stub,Start,Low,General
Receive-after-transmit time delay,803,0,0,4,9,0,Stub,Stub,Low,Science & Technology
Received noise power,1028,0,0,0,18,0,Stub,Stub,Low,Science & Technology
Attack-time delay,1487,2,0,4,17,0,Stub,Stub,Low,Science & Technology
Recorder warning tone,1587,1,0,4,2,0,Stub,Stub,Low,General
Recovery procedure,820,0,0,4,11,0,Stub,Stub,Low,General
Reference circuit,1146,0,0,4,8,0,Stub,Stub,Low,General
Cycloid,28173,45,8,28,109,0,Start,C,Medium,General
Reference noise,666,0,0,2,11,0,Stub,Stub,Low,Science & Technology
Reference surface,734,0,0,2,10,0,Stub,Stub,Low,General
Reflection coefficient,12428,2,2,20,53,0,Stub,Start,Low,Science & Technology
Reflective array antenna,14084,9,3,16,60,0,Stub,Stub,Low,General
Reflectance,10877,11,3,26,54,0,Stub,C,Medium,Science & Technology
Refractive index contrast,4358,9,0,2,15,0,Stub,Stub,Low,General
Relative transmission level,711,0,0,0,10,0,Stub,Stub,Low,General
Release time (telecommunications),631,0,0,2,7,0,Stub,Stub,Low,General
Remote call forwarding,3454,2,0,4,13,0,Stub,Stub,Low,General
Remote Operations Service Element protocol,1508,0,0,4,13,0,Stub,Stub,Low,General
Repeater,17005,12,3,30,112,0,Start,C,Medium,Science & Technology
Repeating coil,1342,0,0,2,24,0,Stub,Stub,Low,General
Reradiation,1053,1,0,0,11,0,Stub,Stub,Low,General
Resonance,61205,23,14,68,276,0,Start,C,Medium,General
Response time (technology),5596,5,0,10,25,0,Stub,Start,Low,Science & Technology
Responsivity,3691,2,0,4,26,0,Stub,Stub,Low,General
Return loss,6034,1,0,10,40,0,Stub,Start,Low,Science & Technology
RF power margin,757,0,0,2,8,0,Stub,Stub,Low,Science & Technology
Ringaround,519,0,0,2,9,0,Stub,Stub,Low,Science & Technology
Ringdown,7162,1,1,12,38,0,Stub,Start,Low,General
Ringer equivalence number,4258,2,1,8,38,0,Stub,Start,Low,General
Ring latency,539,0,0,2,8,0,Stub,Stub,Low,General
Round-trip delay,4725,4,0,8,26,0,Stub,Start,Low,Science & Technology
Routing indicator,2602,0,0,2,7,0,Stub,Stub,Low,General
Rubidium standard,2667,1,2,8,25,0,Stub,Start,Low,Science & Technology
Rural radio service,1724,3,0,6,8,0,Stub,Stub,Low,General
Schematic,7935,1,2,10,37,0,Stub,Start,Low,General
Scrambler,15502,4,3,22,101,0,Stub,C,Medium,Culture & Arts
Secondary frequency standard,1062,0,0,2,10,0,Stub,Stub,Low,Science & Technology
Security,25682,35,9,44,189,0,Start,C,Medium,General
Security management,8032,3,0,50,32,0,Stub,Start,Low,General
Self-synchronizing code,4362,6,0,8,34,0,Stub,Start,Low,General
Semiautomatic switching system,644,0,0,2,7,0,Stub,Stub,Low,General
Separate-channel signaling,900,1,0,4,6,0,Stub,Stub,Low,General
Service termination point,550,0,0,2,7,0,Stub,Stub,Low,General
Shadow loss,641,0,0,2,9,0,Stub,Stub,Low,General
Shield,31153,30,12,34,183,0,Start,C,Medium,History & Politics
Shift register,12415,7,4,32,58,0,Stub,Start,Low,General
Shot noise,20952,14,2,24,101,0,Start,C,Medium,Science & Technology
Sideband,9673,1,3,14,72,0,Stub,Start,Low,General
Signaling (telecommunications),7502,3,0,20,70,0,Stub,Start,Low,General
Signal-to-crosstalk ratio,621,0,0,2,10,0,Stub,Stub,Low,Science & Technology
Signal-to-noise ratio,26141,21,2,40,128,0,Start,C,Medium,Science & Technology
Signal transition,775,0,0,4,15,0,Stub,Stub,Low,Science & Technology
Simple Network Management Protocol,40912,45,1,44,117,1,Start,C,Medium,General
Simplex signaling,1206,0,0,2,8,0,Stub,Stub,Low,General
Single-frequency signaling,3085,1,0,2,34,0,Stub,Start,Low,General
Single-mode optical fiber,14709,11,2,22,52,0,Stub,C,Medium,General
S interface,2305,5,0,4,16,0,Stub,Stub,Low,General
Skip zone,3437,1,2,12,15,0,Stub,Start,Low,General
Slant range,1334,0,2,4,14,0,Stub,Stub,Low,General
Slave clock,4452,4,1,8,19,0,Stub,Start,Low,Science & Technology
Spatial application,617,0,0,4,7,0,Stub,Stub,Low,Science & Technology
Specific detectivity,5530,2,0,6,19,0,Stub,Start,Low,General
Spectral width,1419,1,0,4,15,0,Stub,Stub,Low,Science & Technology
Speed of service,646,0,0,2,4,0,Stub,Stub,Low,Science & Technology
Spill-forward feature,1049,2,0,2,6,0,Stub,Stub,Low,General
Spread spectrum,15694,16,1,20,88,0,Start,C,Medium,Science & Technology
Squelch,14677,4,1,18,53,0,Stub,Start,Low,Science & Technology
Standard test signal,696,0,0,4,11,0,Stub,Stub,Low,General
Standing wave,47850,32,5,46,168,0,Start,C,Medium,Science & Technology
Standing wave ratio,32351,18,6,22,87,0,Start,C,Medium,Science & Technology
Star coupler,1652,0,0,2,17,0,Stub,Stub,Low,History & Politics
Start signal,638,0,0,2,9,0,Stub,Stub,Low,Science & Technology
Step-index profile,2543,2,1,4,16,0,Stub,Stub,Low,General
Stopband,2201,1,1,4,17,0,Stub,Stub,Low,General
Stop signal,663,0,0,2,6,0,Stub,Stub,Low,Science & Technology
Stressed environment,1003,0,0,2,12,0,Stub,Stub,Low,General
Substitution method (optical fiber),1535,0,0,4,10,0,Stub,Stub,Low,General
Summation check,573,0,0,2,5,0,Stub,Stub,Low,General
Supervisory program,711,0,0,2,11,0,Stub,Stub,Low,Science & Technology
Reduced-carrier transmission,1989,0,0,4,31,0,Stub,Stub,Low,General
Surface wave,26128,23,2,26,104,0,Start,B,Medium,Science & Technology
Switched loop,897,0,0,4,13,0,Stub,Stub,Low,General
Synchronous orbit,9177,18,0,14,49,0,Stub,Stub,Low,General
System integrity,1052,0,0,2,14,0,Stub,Stub,Low,Science & Technology
Systems control,1013,0,0,2,6,0,Stub,Start,Low,Science & Technology
Systems design,10730,14,0,16,50,0,Stub,Start,Low,Science & Technology
Tactical communications,7358,5,3,12,42,0,Stub,Start,Low,History & Politics
Tape relay,829,0,1,4,8,0,Stub,Stub,Low,General
T-carrier,19857,21,1,20,136,0,Start,C,Medium,Science & Technology
Technical control facility,1220,2,0,2,10,0,Stub,Stub,Low,General
Teleconference,2317,2,1,6,26,0,Stub,Stub,Low,General
Terminal equipment,957,0,0,4,11,0,Stub,Stub,Low,General
Ternary signal,2152,1,0,4,36,0,Stub,Stub,Low,General
Thermodynamic temperature,103168,66,20,46,366,0,C,B,Medium,General
Third-order intercept point,12812,1,3,14,38,0,Stub,Start,Low,General
Time-assignment speech interpolation,3800,2,0,6,14,0,Stub,Start,Low,General
Minimum spanning tree,47631,60,3,56,138,0,Start,C,Medium,General
Time-division multiplexing,14208,22,1,16,55,0,Stub,C,Medium,History & Politics
Time-domain reflectometer,27143,13,2,36,78,0,Start,Start,Low,Science & Technology
Time standard,26226,31,0,24,115,0,Start,C,Medium,General
T interface,1271,2,0,4,16,0,Stub,Stub,Low,History & Politics
Toll switching trunk,1396,2,0,4,13,0,Stub,Stub,Low,General
Total harmonic distortion,21835,40,0,16,57,0,Start,Start,Low,General
West Bretton,15694,12,2,28,92,1,Start,B,Medium,Geography
Cathay Pacific,162262,313,22,160,453,1,B,B,Medium,General
"Bretton Hall, West Yorkshire",12131,18,2,16,79,1,Stub,C,Medium,Geography
Causality (physics),15791,9,0,20,71,0,Stub,C,Medium,Science & Technology
Wetherby,43739,72,16,58,240,1,Start,C,Medium,Geography
Bill Bailey,54602,133,3,32,317,1,C,B,Medium,Science & Technology
Whitkirk,6714,10,3,16,39,1,Stub,Start,Low,General
Nick Hancock,13468,35,0,14,98,1,Stub,Start,Low,Biography
Rory McGrath,12061,16,0,14,75,1,Stub,C,Medium,Science & Technology
John Smeaton,29838,39,7,20,159,1,Start,C,Medium,Science & Technology
Jonathan Ross,86482,125,3,64,438,1,C,C,Medium,History & Politics
Eddystone Lighthouse,43494,84,13,34,173,1,Start,C,Medium,Science & Technology
Forth and Clyde Canal,47274,17,6,28,275,1,Start,C,Medium,Science & Technology
Video Toaster,22313,28,1,22,122,1,Start,Start,Low,Science & Technology
Faraday cage,17663,11,6,24,96,0,Start,C,Medium,Culture & Arts
River Wharfe,38243,53,5,34,254,1,Start,C,Medium,Geography
NewTek,13106,21,0,14,54,1,Stub,Start,Low,Science & Technology
"River Ouse, Yorkshire",16626,21,1,20,111,1,Start,Start,Low,Geography
Dean Martin,80994,83,10,38,509,1,C,B,Medium,History & Politics
Deception,50114,93,3,64,97,0,C,B,Medium,General
Mark Waugh,88289,321,2,56,298,1,C,C,Medium,History & Politics
Ian Chappell,72781,154,5,64,223,1,FA,FA,High,History & Politics
Lenny Henry,70739,118,3,48,455,1,C,Start,Low,History & Politics
John Junkin,13542,18,0,18,161,1,Stub,C,Medium,History & Politics
Authorization,6934,7,0,16,56,0,Stub,Start,Low,General
"River Avon, Devon",4099,3,0,4,29,1,Stub,Stub,Low,Geography
"River Avon, Warwickshire",31859,45,7,28,169,1,Start,B,Medium,History & Politics
"River Avon, Hampshire",21216,40,6,36,191,1,Start,Start,Low,Geography
"River Avon, Bristol",70181,111,12,24,408,1,C,B,Medium,Geography
Glossary,5182,5,2,10,25,0,Stub,Start,Low,Culture & Arts
Kennet and Avon Canal,107879,195,24,60,547,1,FA,FA,High,General
Stratford-upon-Avon Canal,27575,39,10,20,121,1,Start,B,Medium,History & Politics
Trent's Last Case (novel),13698,14,0,22,66,1,Stub,Start,Low,Culture & Arts
Walt Disney Studios (Burbank),59087,78,12,54,267,1,C,Start,Low,Geography
Aire and Calder Navigation,38035,44,2,26,139,1,GA,GA,High,Geography
Line drawing algorithm,11916,7,2,30,45,0,Stub,C,Medium,General
Wilts and Berks Canal,60973,32,4,26,216,1,C,C,Medium,History & Politics
Very Large Telescope,59450,89,10,30,174,1,C,B,Medium,Geography
Fomalhaut,47546,129,7,22,185,0,Start,C,Medium,General
Coney Island,211952,578,25,122,551,1,GA,GA,High,Geography
"Communities, regions, and language areas of Belgium",30157,16,12,28,154,0,Start,C,Medium,Geography
"I, Libertine",7130,4,0,14,47,1,Stub,Start,Low,Culture & Arts
John Shelby Spong,24602,60,0,20,124,1,Start,C,Medium,Science & Technology
Galaxy Science Fiction,86271,202,3,44,184,0,FA,FA,High,Science & Technology
Birmingham and Fazeley Canal,35551,41,27,20,110,1,Start,B,Medium,History & Politics
"Glasgow, Paisley and Johnstone Canal",20584,18,1,34,84,1,Start,B,Medium,History & Politics
Tar (computing),38543,43,1,48,166,1,Start,C,Medium,Science & Technology
Thames and Medway Canal,16691,11,6,20,65,1,Start,B,Medium,Culture & Arts
Thames and Severn Canal,57820,58,5,44,204,1,C,B,Medium,Geography
Trent and Mersey Canal,24936,13,5,36,182,1,Start,C,Medium,Geography
Staffordshire and Worcestershire Canal,18135,11,1,36,121,1,Start,Start,Low,Geography
Roger Mellie,17991,8,0,12,107,1,Stub,Start,Low,Biography
GCSE,84332,109,2,134,179,1,C,C,Medium,General
One-instruction set computer,32200,42,1,70,74,0,Start,Start,Low,General
Rebec,12133,16,0,16,103,1,Stub,Start,Low,History & Politics
Romano-Serbian language,2654,3,0,4,20,1,Stub,Stub,Low,General
Nicholas Barbon,19409,61,1,20,107,1,Start,Start,Low,History & Politics
Carlos De León,17655,1,0,20,138,1,Stub,Start,Low,History & Politics
Ziggy Marley,51570,86,2,50,258,1,C,Start,Low,History & Politics
The Rascals,45791,67,2,40,229,1,Start,B,Medium,Biography
The Cult,91402,107,4,34,419,1,C,B,Medium,Biography
Aztec calendar,27646,12,40,20,181,0,Start,C,Medium,Science & Technology
John Barbour (poet),11439,3,4,22,91,1,Stub,Start,Low,History & Politics
Alexander Barclay,6401,5,1,12,85,1,Stub,Start,Low,History & Politics
Blanche of Castile,29611,33,1,28,168,1,Start,C,Medium,History & Politics
Kevin Johnson (basketball player),67634,101,4,66,275,1,C,B,Medium,History & Politics
"Robert I, Latin Emperor",6535,1,0,4,47,1,Stub,C,Medium,History & Politics
Henry of Flanders,10928,1,0,16,78,1,Stub,C,Medium,History & Politics
Heavenly (British band),13449,29,0,30,107,1,Stub,Start,Low,Biography
Peter II of Courtenay,10636,1,1,10,101,1,Stub,C,Medium,History & Politics
Kyrenia,49297,52,15,42,201,1,Start,Start,Low,History & Politics
José Celso Barbosa,13922,23,2,20,75,1,Stub,B,Medium,History & Politics
Zu Chongzhi,15502,21,1,26,79,1,Start,C,Medium,History & Politics
Nazz,17704,44,1,24,99,1,Start,Start,Low,Biography
SPQR,30183,51,17,18,164,0,Start,Start,Low,History & Politics
Foreign relations of Mongolia,67646,124,6,26,260,0,C,Start,Low,History & Politics
U-God,12137,16,1,26,82,1,Stub,Start,Low,History & Politics
Stirling's approximation,33970,24,3,30,64,0,Start,C,Medium,General
Veruca Salt,35115,56,1,32,189,1,Start,Start,Low,Biography
Alfred Charles Auguste Foucher,5918,1,1,10,38,0,Stub,Start,Low,History & Politics
Bandidos Motorcycle Club,50993,100,3,79,124,1,C,C,Medium,Geography
François Tourte,9249,8,1,12,32,0,Stub,Start,Low,History & Politics
T-Mobile (brand),48741,60,8,44,223,1,Start,C,Medium,General
Our Fair City,1949,3,1,6,21,0,Stub,Stub,Low,General
And He Built a Crooked House,6608,3,1,14,34,1,Stub,C,Medium,Science & Technology
Play (play),28378,66,0,26,118,1,Start,C,Medium,History & Politics
Pedro Morales,99831,259,4,48,357,1,C,B,Medium,History & Politics
"St Kilda, Scotland",120331,240,24,56,431,1,B,B,Medium,Science & Technology
Film (film),37150,55,0,30,106,1,Start,C,Medium,Culture & Arts
Queen Anne-Marie of Greece,46244,45,21,44,247,1,Start,B,Medium,History & Politics
Ingrid of Sweden,30865,19,7,32,219,1,Start,C,Medium,History & Politics
Reagan Democrat,24804,21,5,16,163,0,Start,Start,Low,History & Politics
Cyberpunk (role-playing game),45876,53,2,46,140,1,Start,B,Medium,Science & Technology
Tejano music,25445,26,6,20,189,1,Start,C,Medium,Geography
Marrano,51599,35,3,42,252,0,C,B,Medium,History & Politics
Side effect,13573,21,1,10,87,0,Stub,Start,Low,General
Homograph,11096,12,1,20,55,0,Stub,Start,Low,General
Homophone,36612,36,1,38,142,0,Start,Start,Low,General
Hawaiian Airlines,106881,192,12,64,335,1,B,C,Medium,General
Human intelligence (intelligence gathering),5738,11,2,12,51,0,Stub,C,Medium,General
Badfinger,93377,95,5,56,285,1,C,B,Medium,History & Politics
Ben Harper,38534,71,5,20,249,1,Start,C,Medium,History & Politics
Billy the Kid,77933,79,9,48,188,1,C,B,Medium,History & Politics
Shane Mosley,98758,134,3,162,396,1,C,C,Medium,History & Politics
Divergence theorem,45640,28,6,46,99,0,Start,C,Medium,General
Pomaks,57368,111,4,36,185,1,C,B,Medium,General
Czechs,77918,117,9,66,734,1,C,Start,Low,History & Politics
Jefferson Starship,68403,127,8,22,244,1,C,C,Medium,Biography
Bulgarians,145391,246,10,54,548,1,B,C,Medium,Geography
Portsmouth and Arundel Canal,14521,37,6,24,51,1,Stub,Start,Low,History & Politics
Herefordshire and Gloucestershire Canal,30292,16,1,24,85,1,Start,B,Medium,Geography
Chelmer and Blackwater Navigation,32932,5,1,26,82,1,Stub,B,Medium,Geography
Dorset and Somerset Canal,12493,18,1,16,50,1,Stub,C,Medium,History & Politics
Gloucester and Sharpness Canal,20651,37,2,28,65,1,Start,Start,Low,Geography
"Manchester, Bolton and Bury Canal",77085,153,11,40,230,1,FA,FA,High,History & Politics
Sheffield and South Yorkshire Navigation,18449,1,0,16,76,1,Stub,C,Medium,History & Politics
Stanley Matthews,91381,249,5,52,585,1,GA,GA,High,History & Politics
Liskeard and Looe Union Canal,27381,14,3,26,44,1,Start,C,Medium,General
Bridgwater and Taunton Canal,45510,57,7,32,173,1,GA,GA,High,General
Wyrley and Essington Canal,33604,14,1,24,124,1,Start,B,Medium,Geography
All horses are the same color,5954,7,2,12,22,0,Stub,Start,Low,Culture & Arts
Alia Shawkat,26577,36,2,30,209,1,Start,C,Medium,History & Politics
T-shirt,27498,31,7,94,151,1,Start,C,Medium,History & Politics
Emmy Awards,47888,65,7,40,198,1,Start,C,Medium,History & Politics
Aquatic plant,49099,100,3,62,202,0,Start,Start,Low,Science & Technology
Del,22008,0,2,30,93,0,Stub,C,Medium,General
Apollo Lunar Module,67914,74,37,44,285,1,C,C,Medium,History & Politics
Droitwich Spa,32511,40,6,42,204,1,Start,Start,Low,Geography
Shotgun Angel,9588,8,0,20,47,1,Stub,C,Medium,Culture & Arts
Vaccinium vitis-idaea,25508,51,4,42,147,0,Start,C,Medium,Science & Technology
Ted Ray (comedian),9704,22,0,16,75,1,Stub,Start,Low,History & Politics
Turtle graphics,8404,9,6,14,42,0,Stub,C,Medium,Science & Technology
Vincent Price,60670,95,5,36,397,1,C,B,Medium,History & Politics
Leif Zeilon,2495,4,0,4,12,1,Stub,Stub,Low,History & Politics
The Nordic Realm Party,2634,2,1,4,18,1,Stub,Stub,Low,History & Politics
Democratic Alliance (Sweden),1926,4,0,2,12,0,Stub,Stub,Low,History & Politics
Bill Pertwee,12262,12,0,18,128,1,Stub,Start,Low,History & Politics
W. D. Hamilton,32747,29,0,35,207,1,Start,C,Medium,Science & Technology
"University of Agricultural Sciences, Bengaluru",14182,30,2,28,82,1,Stub,Start,Low,General
Air Raid Precautions,23628,16,9,44,168,1,Start,C,Medium,History & Politics
Government of Hong Kong,31140,26,0,44,220,1,Start,C,Medium,History & Politics
Vernalization,20730,35,2,14,36,0,Start,Start,Low,Science & Technology
A Portuguesa,10810,9,1,14,55,1,Stub,C,Medium,Culture & Arts
Sarrià-Sant Gervasi,5573,6,1,10,46,1,Stub,Start,Low,Geography
Nullarbor Plain,38543,62,8,44,189,1,Start,B,Medium,Geography
County of Bentheim (district),3178,0,1,12,50,1,Stub,Start,Low,Geography
Microstate,35809,75,7,22,111,0,Start,C,Medium,Geography
Cloppenburg (district),4730,3,3,12,42,1,Stub,Start,Low,Geography
Subfamily,5077,9,0,12,21,0,Stub,Stub,Low,Science & Technology
Hellenism (modern religion),65102,108,4,46,301,0,C,B,Medium,General
Districts of Hong Kong,22345,20,3,30,104,1,Start,C,Medium,Geography
Boeing 757,147138,462,27,72,447,1,FA,FA,High,Geography
TWAIN,8584,12,0,14,52,1,Stub,Start,Low,Science & Technology
"Soli, Cyprus",10227,8,6,12,71,1,Stub,Stub,Low,History & Politics
"River Ouse, Sussex",69030,50,3,38,196,1,C,B,Medium,Geography
"Seaford, East Sussex",39690,57,7,34,254,1,Start,B,Medium,Geography
Newhaven,31646,47,5,38,135,1,Start,Start,Low,Geography
"Newhaven, Derbyshire",1963,2,0,4,14,1,Stub,Stub,Low,Geography
Gamesley,6342,4,0,10,36,1,Stub,C,Medium,Geography
"Newhaven, Edinburgh",19433,25,3,34,68,1,Start,Start,Low,Science & Technology
Operation Peter Pan,29758,38,0,44,105,1,Start,Start,Low,Science & Technology
Sábado Gigante,34835,28,1,50,172,1,Start,C,Medium,Culture & Arts
Corvette,37580,33,11,44,154,0,Start,C,Medium,General
Oldenburg (district),3009,0,0,12,40,1,Stub,Start,Low,Geography
S-100 bus,18025,22,3,12,76,1,Start,Start,Low,General
Karyotype,60448,85,11,52,351,0,C,C,Medium,Science & Technology
Buffalo Bill,103657,175,29,60,572,1,B,B,Medium,History & Politics
Arthur Middleton,6227,4,2,10,65,1,Stub,Start,Low,Science & Technology
Rodmell,20168,31,7,30,117,1,Start,Start,Low,General
Beneath the Planet of the Apes,28614,44,0,34,169,1,Start,Start,Low,Science & Technology
Lloyd's of London,83173,107,5,112,249,1,C,C,Medium,History & Politics
Robert Barclay,21375,23,0,28,110,1,Start,Start,Low,History & Politics
Eddy Merckx,155783,216,32,118,718,1,GA,GA,High,History & Politics
William Barclay (jurist),3776,0,1,8,42,0,Stub,Start,Low,Biography
Praise-God Barebone,11156,8,0,16,53,1,Stub,B,Medium,Biography
Royal Prussia,29687,18,6,22,180,1,Start,Start,Low,History & Politics
Dexys Midnight Runners,71937,199,1,68,217,1,C,C,Medium,History & Politics
Deryck Guyler,12390,15,1,14,107,1,Stub,Start,Low,History & Politics
Wakefield,113342,209,14,62,470,1,B,B,Medium,History & Politics
Mirfield,14935,20,4,32,93,1,Stub,Start,Low,Geography
Mytholmroyd,27031,34,0,66,99,1,Start,Start,Low,Geography
Heptonstall,16511,37,3,16,70,1,Start,Start,Low,Geography
Inter-process communication,12116,9,1,20,122,0,Stub,Start,Low,General
Hebden Bridge,40404,73,9,28,222,1,Start,C,Medium,History & Politics
Scalable Coherent Interface,14344,14,1,16,46,1,Stub,Start,Low,Science & Technology
Newmillerdam,8859,23,1,8,19,1,Stub,Start,Low,General
Linear function,5839,7,2,10,47,0,Stub,C,Medium,General
Nostell,3927,7,2,6,25,0,Stub,Start,Low,Geography
Oakworth,9195,14,0,12,37,1,Stub,Start,Low,Geography
Ossett,39024,45,5,48,200,1,Start,C,Medium,Geography
Oxenhope,11364,20,1,24,55,1,Stub,Start,Low,Geography
Otley,49355,140,12,48,265,1,Start,B,Medium,Geography
Pontefract,37419,58,9,36,258,1,Start,Start,Low,Geography
"River Avon, Strathspey",7250,11,1,6,41,1,Stub,Start,Low,Geography
"River Avon, Falkirk",7567,11,1,10,44,1,Stub,Stub,Low,Geography
Avon Water,5764,5,0,8,38,1,Stub,Start,Low,Geography
